solver,L,r,p,max_bond,cmi
exact,10,1,0.020000,,0.0002086096398253301
exact,10,1,0.050000,,0.020394079609085302
exact,10,1,0.080000,,-0.06758199720804647
exact,10,1,0.095000,,-0.05732293069993153
exact,10,1,0.100000,,0.15522855727821305
exact,10,1,0.105000,,0.02716202601680111
exact,10,1,0.110000,,0.04896510833545324
exact,10,1,0.115000,,0.21729671262970154
exact,10,1,0.120000,,-0.029777184804893598
exact,10,1,0.130000,,-0.014161119565290115
exact,10,1,0.150000,,0.043302665185991886
exact,10,1,0.200000,,0.00034531322500548357
exact,10,1,0.300000,,-0.0003198660176638057
exact,10,1,0.500000,,1.7763568394002505e-15
exact,10,2,0.020000,,0.00016258077546980055
exact,10,2,0.050000,,0.008788955374866703
exact,10,2,0.080000,,0.0453813317911802
exact,10,2,0.095000,,0.08914838577130269
exact,10,2,0.100000,,0.014504352572362045
exact,10,2,0.105000,,0.04351949699533186
exact,10,2,0.110000,,0.023600951274195835
exact,10,2,0.115000,,-0.03664499806461308
exact,10,2,0.120000,,0.0707722504860497
exact,10,2,0.130000,,0.041257108440973765
exact,10,2,0.150000,,-0.016745274976267766
exact,10,2,0.200000,,0.0016845177709651437
exact,10,2,0.300000,,0.00011265074832564892
exact,10,2,0.500000,,-7.105427357601002e-15
exact,10,3,0.020000,,3.8007023483999094e-08
exact,10,3,0.050000,,0.03082230622167863
exact,10,3,0.080000,,0.03803335209577163
exact,10,3,0.095000,,0.06012707183487862
exact,10,3,0.100000,,0.01110584119479796
exact,10,3,0.105000,,0.03315216499966809
exact,10,3,0.110000,,0.08435330749195061
exact,10,3,0.115000,,-0.009916577249595803
exact,10,3,0.120000,,0.013097926562551265
exact,10,3,0.130000,,-0.024663965137512633
exact,10,3,0.150000,,-0.007414843799281101
exact,10,3,0.200000,,-0.0017195247596198727
exact,10,3,0.300000,,-7.197533800251676e-06
exact,10,3,0.500000,,-7.105427357601002e-15
exact,18,4,0.020000,,6.074155294299999e-08
exact,18,4,0.050000,,0.0014788996523204645
exact,18,4,0.080000,,-0.023407077117742148
exact,18,4,0.095000,,0.0033716719322107735
exact,18,4,0.100000,,0.021861946979965553
exact,18,4,0.105000,,0.03995157419129995
exact,18,4,0.110000,,-0.015167779804812653
exact,18,4,0.115000,,0.04922480960391198
exact,18,4,0.120000,,0.017213034412358042
exact,18,4,0.130000,,0.009561365538201727
exact,18,4,0.150000,,-0.0020459085396737466
exact,18,4,0.200000,,-0.00015883056616559089
exact,18,4,0.300000,,1.382822922835203e-06
exact,18,4,0.500000,,0.0
bmps,22,5,0.020000,64,-1.4348766348426523e-06
bmps,22,5,0.050000,64,-0.001398507048051556
bmps,22,5,0.080000,64,0.22176603402035439
bmps,22,5,0.095000,64,0.09695238764997498
bmps,22,5,0.100000,64,-0.06674830927298388
bmps,22,5,0.105000,64,0.03467860921129642
bmps,22,5,0.110000,64,0.03935697216601568
bmps,22,5,0.115000,64,0.12848001054801728
bmps,22,5,0.120000,64,0.055436563573628916
bmps,22,5,0.130000,64,0.010624212042390013
bmps,22,5,0.150000,64,-0.028462686056313656
bmps,22,5,0.200000,64,0.0014758016715418875
bmps,22,5,0.300000,64,7.088188826145369e-05
bmps,22,5,0.500000,64,1.9895196601282804e-14
bmps,26,6,0.020000,64,-8.235333806538847e-06
bmps,26,6,0.050000,64,-0.017706139278158162
bmps,26,6,0.080000,64,-0.009235509023584143
bmps,26,6,0.095000,64,-0.12567978085177317
bmps,26,6,0.100000,64,0.010292304192023809
bmps,26,6,0.105000,64,-0.13595643658482146
bmps,26,6,0.110000,64,-0.013633951786680143
bmps,26,6,0.115000,64,-0.006345348591572986
bmps,26,6,0.120000,64,0.06970998675261342
bmps,26,6,0.130000,64,-0.024894232647977788
bmps,26,6,0.150000,64,-0.02176939018989401
bmps,26,6,0.200000,64,-0.0039142796885812455
bmps,26,6,0.300000,64,-2.4182251362958595e-05
bmps,26,6,0.500000,64,3.979039320256561e-14
