seed,p,r,cmi,method,L,num_samples,max_bond,elapsed_sec
2626,0.050000,1,0.066112048942064,exact,6,250,,3.045
2726,0.050000,2,0.05337735202759502,exact,10,250,,10.070
2826,0.050000,3,0.006281483544190266,exact,14,250,,25.628
2926,0.050000,4,0.03961278456463333,exact,18,50,,124.754
3026,0.050000,5,-0.001426559660645969,bmps,22,180,16,31.166
3126,0.050000,6,0.009331629624143373,bmps,26,180,16,46.393
3226,0.110000,1,0.01488360190766925,exact,6,250,,2.958
3326,0.110000,2,0.03623977051558558,exact,10,250,,9.864
3426,0.110000,3,0.01831270326415129,exact,14,250,,24.663
3526,0.110000,4,0.0167616033990268,exact,18,50,,100.266
3626,0.110000,5,-0.003277693508341528,bmps,22,40,32,97.399
3726,0.110000,6,-0.0835792749088288,bmps,26,40,32,154.112
3626,0.150000,1,0.008769541029180204,exact,6,250,,3.102
3726,0.150000,2,0.008436633748256298,exact,10,250,,9.910
3826,0.150000,3,0.003641771639040371,exact,14,250,,24.954
3926,0.150000,4,0.001648089377485178,exact,18,50,,98.109
4026,0.150000,5,-0.005857625368435353,bmps,22,180,16,33.800
4126,0.150000,6,-0.07092130476800859,bmps,26,180,16,49.705
2627,0.050000,1,0.1036605566073742,exact,6,250,,3.032
2727,0.050000,2,0.03814732176505458,exact,10,250,,9.968
2827,0.050000,3,0.02915184461791855,exact,14,250,,25.233
2927,0.050000,4,0.02480190627678496,exact,18,50,,100.169
3027,0.050000,5,0.005125550758317382,bmps,22,180,16,31.541
3127,0.050000,6,0.02175772570210085,bmps,26,180,16,46.465
3227,0.110000,1,0.01261427668399625,exact,6,250,,3.030
3327,0.110000,2,-0.0006185399324583827,exact,10,250,,9.969
3427,0.110000,3,0.04342851188717987,exact,14,250,,24.796
3527,0.110000,4,-0.02820041822474437,exact,18,50,,100.298
3627,0.110000,5,-0.01772708224931385,bmps,22,40,32,98.381
3727,0.110000,6,0.005900946373718341,bmps,26,40,32,153.227
3627,0.150000,1,0.0128155405538388,exact,6,250,,3.105
3727,0.150000,2,0.005949401270579528,exact,10,250,,9.966
3827,0.150000,3,0.002325143950108639,exact,14,250,,24.748
3927,0.150000,4,0.0009070352047386621,exact,18,50,,100.169
4027,0.150000,5,-0.02854613553183177,bmps,22,180,16,33.605
4127,0.150000,6,-0.09776413951752624,bmps,26,180,16,49.717
