p,model,fit_mode,leave_out_r,kept_r,points,parameter_name,parameter,intercept,r2,weighted_r2
0.05,exp,unweighted,,"1,2,3,4,5,6",6,b,-0.7760734459565203,-1.7734139616189897,0.9983880809554078,nan
0.05,exp,unweighted,1,"2,3,4,5,6",5,b,-0.7739718558449826,-1.7832213821394962,0.99718437648487,nan
0.05,exp,unweighted,2,"1,3,4,5,6",5,b,-0.7751742465056691,-1.7783096030736216,0.9980988484991229,nan
0.05,exp,unweighted,3,"1,2,4,5,6",5,b,-0.7761586228849182,-1.7726189769539349,0.9983610717567977,nan
0.05,exp,unweighted,4,"1,2,3,5,6",5,b,-0.7733520216258903,-1.7670639715141867,0.9990689662837,nan
0.05,exp,unweighted,5,"1,2,3,4,6",5,b,-0.7880839911322356,-1.7547308913456563,0.9996542122456937,nan
0.05,exp,unweighted,6,"1,2,3,4,5",5,b,-0.7662645899270971,-1.7963012923543102,0.9974904480603545,nan
0.05,exp,weighted,,"1,2,3,4,5,6",6,b,-0.7792999215741657,-1.7637903002162358,0.9983692413956117,0.9991315966415766
0.05,exp,weighted,1,"2,3,4,5,6",5,b,-0.7784333331784816,-1.7667715371725694,0.9971496196194637,0.9979762524100462
0.05,exp,weighted,2,"1,3,4,5,6",5,b,-0.7793794256760128,-1.7653208809343017,0.9980644557942583,0.9991390097098669
0.05,exp,weighted,3,"1,2,4,5,6",5,b,-0.7790100469546045,-1.7639684612769295,0.9983463414044449,0.9990196743994642
0.05,exp,weighted,4,"1,2,3,5,6",5,b,-0.7704672486902578,-1.7748569367867444,0.9990530925225891,0.9995633623221287
0.05,exp,weighted,5,"1,2,3,4,6",5,b,-0.7903380722972237,-1.7475100988922274,0.9996460342737516,0.999684997836307
0.05,exp,weighted,6,"1,2,3,4,5",5,b,-0.7780160556424224,-1.7658287024140544,0.9972364216065766,0.9989455078738181
0.11,power,unweighted,,"1,2,3,4,5,6",6,alpha,0.7655510577482777,-3.421906974578922,0.7075919791115151,nan
0.11,power,unweighted,1,"2,3,4,5,6",5,alpha,1.3550963076430806,-2.578715940664511,0.911782371292378,nan
0.11,power,unweighted,2,"1,3,4,5,6",5,alpha,0.6754361789244716,-3.6024636555766265,0.7232939591416797,nan
0.11,power,unweighted,3,"1,2,4,5,6",5,alpha,0.7656851419954798,-3.4454571947330974,0.714279758547929,nan
0.11,power,unweighted,4,"1,2,3,5,6",5,alpha,0.8115034801765931,-3.429549193552513,0.760121184093844,nan
0.11,power,unweighted,5,"1,2,3,4,6",5,alpha,0.7668211310127977,-3.421420390084933,0.6752089265223202,nan
0.11,power,unweighted,6,"1,2,3,4,5",5,alpha,0.541234194648465,-3.5498151809179777,0.6787135735884964,nan
0.11,power,weighted,,"1,2,3,4,5,6",6,alpha,0.4902784652938009,-3.5018546554492747,0.4536353675819803,0.4731190116325671
0.11,power,weighted,1,"2,3,4,5,6",5,alpha,1.1500920395770338,-2.778653385260017,0.8748345522044874,0.9314057256995162
0.11,power,weighted,2,"1,3,4,5,6",5,alpha,0.46486182069143883,-3.72564019650139,0.5913504939681788,0.7607552294828033
0.11,power,weighted,3,"1,2,4,5,6",5,alpha,0.47238086391241974,-3.501943481023158,0.41460045920102007,0.4439251345138763
0.11,power,weighted,4,"1,2,3,5,6",5,alpha,0.4763529632570155,-3.5063033524227123,0.42763491178268564,0.38265917049885656
0.11,power,weighted,5,"1,2,3,4,6",5,alpha,0.4375072994704198,-3.5241395165596843,0.3965982320469815,0.4076289914857929
0.11,power,weighted,6,"1,2,3,4,5",5,alpha,0.38537585015571474,-3.551613493476529,0.46655158508556216,0.41597597309821743
0.15,exp,unweighted,,"1,2,3,4,5,6",6,b,-0.27844452109340134,-5.115095798397663,0.5320861980214489,nan
0.15,exp,unweighted,1,"2,3,4,5,6",5,b,-0.24008948089268264,-5.294085986001016,0.3321852794849538,nan
0.15,exp,unweighted,2,"1,3,4,5,6",5,b,-0.27443938553699,-5.136901536427012,0.483321529708444,nan
0.15,exp,unweighted,3,"1,2,4,5,6",5,b,-0.3009792402218796,-4.904771753198528,0.6950387394562378,nan
0.15,exp,unweighted,4,"1,2,3,5,6",5,b,-0.3055052937756167,-5.1782376013228335,0.7778652834450056,nan
0.15,exp,unweighted,5,"1,2,3,4,6",5,b,-0.23168422037196965,-5.187834043964336,0.4468488799783962,nan
0.15,exp,unweighted,6,"1,2,3,4,5",5,b,-0.30662816107093366,-5.049333971783425,0.4445774415941832,nan
0.15,exp,weighted,,"1,2,3,4,5,6",6,b,-0.2449587766130339,-4.861759491298532,0.20133356489425525,0.3022660979418904
0.15,exp,weighted,1,"2,3,4,5,6",5,b,-0.30569619150005606,-4.594486293539362,-0.24331341188331534,0.25102571906254056
0.15,exp,weighted,2,"1,3,4,5,6",5,b,-0.27147898763948547,-4.735944987644063,0.11489864393427873,0.3203273488769597
0.15,exp,weighted,3,"1,2,4,5,6",5,b,-0.2772086202407934,-4.6695027081192855,0.4611079609402883,0.43454819153867963
0.15,exp,weighted,4,"1,2,3,5,6",5,b,-0.3096100707840449,-5.135123421993673,0.7756650720848743,0.8161937899301551
0.15,exp,weighted,5,"1,2,3,4,6",5,b,-0.17193197421077844,-5.035327028163271,0.08487239748511266,0.22822913177911808
0.15,exp,weighted,6,"1,2,3,4,5",5,b,-0.17240206096249144,-5.080422826883894,0.03293317284211705,0.13960889460153836
