p,r,old_mean,old_sem,old_total_samples,new_mean,new_sem,new_total_samples,delta_mean,ratio_new_to_old
0.050000,1,0.07867088767301786,0.006611313309940727,5000,0.07867088767301786,0.006611313309940727,5000,0,1
0.050000,2,0.0362191448813151,0.003948920891583374,5000,0.0362191448813151,0.003948920891583374,5000,0,1
0.050000,3,0.01650526202843445,0.002724983959496839,5000,0.01650526202843444,0.002724983959496839,5000,-6.938893903907228e-18,0.9999999999999996
0.050000,4,0.007042994039012045,0.00166310579821689,5000,0.007042994039012045,0.00166310579821689,5000,0,1
0.050000,5,0.002015503295661182,0.001354488784826302,5000,0.003867960861585767,0.001201109530112399,10000,0.001852457565924585,1.919104210800553
0.050000,6,0.002018389967027369,0.001499275553777432,5000,0.001560809278253935,0.0007292337407283657,20000,-0.0004575806887734341,0.7732942116000771
0.110000,1,0.02330480202280638,0.0028644374627358,5000,0.02330480202280638,0.0028644374627358,5000,3.469446951953614e-18,1
0.110000,2,0.02787043920975977,0.002578701764492848,5000,0.02787043920975977,0.002578701764492848,5000,0,1
0.110000,3,0.01585191753089777,0.003006290102190163,5000,0.01585191753089778,0.003006290102190163,5000,6.938893903907228e-18,1
0.110000,4,0.01490071549548163,0.002417256250130832,5000,0.01490071549548163,0.002417256250130832,5000,3.469446951953614e-18,1
0.110000,5,0.009560313435734996,0.003005084581171737,5000,0.009560313435734996,0.003005084581171737,5000,0,1
0.110000,6,0.005523847946439847,0.003196605086128083,5000,0.005364433878914453,0.002008147996486087,10000,-0.0001594140675253933,0.971140757480818
0.150000,1,0.005165826419219442,0.001729607967007074,5000,0.005165826419219441,0.001729607967007074,5000,-8.673617379884035e-19,0.9999999999999998
0.150000,2,0.003556231984368019,0.001432207831045905,5000,0.003556231984368019,0.001432207831045905,5000,0,1
0.150000,3,0.001118246718142092,0.0007425474378351512,5000,0.001365240543725667,0.0005769394793291608,10000,0.0002469938255835744,1.220875967330306
0.150000,4,0.004282870860079195,0.0006104297253673934,5000,0.004282870860079194,0.0006104297253673934,5000,-8.673617379884035e-19,0.9999999999999998
0.150000,5,0.0006963262176492408,0.000532979616788344,5000,0.001016091385437297,0.0003381114878386296,20000,0.0003197651677880563,1.459217475492401
0.150000,6,0.001241025210418241,0.0004257069900252226,5000,0.00124102521041824,0.0004257069900252226,5000,-6.505213034913027e-19,0.9999999999999994
