p,r,L,max_bond,num_samples,seed,cmi,elapsed_sec
0.110000,5,22,32,2000,3626,0.006332336275094515,1555.361
0.110000,5,22,32,2000,3627,0.001972864109967292,1226.081
0.110000,5,22,32,2000,3628,-0.001400132480958376,1230.257
0.110000,6,26,32,2000,3726,0.0019576198082651,1901.763
0.110000,6,26,32,2000,3727,-0.0001597832055254826,1909.145
0.150000,5,22,32,2000,4026,-0.004716803499429979,1250.284
0.110000,6,26,32,2000,3728,-0.01394125025501864,1886.795
0.150000,5,22,32,2000,4028,-0.005936637353212511,1235.225
0.150000,5,22,32,2000,4027,-0.006695455865520657,1245.251
0.150000,6,26,32,2000,4126,-0.0208932404792994,1922.283
0.150000,6,26,32,2000,4127,-0.01729066538040657,1913.955
0.150000,6,26,32,2000,4128,-0.02205316768095554,1931.967
