p,r,L,max_bond,count_chunks,total_samples,cmi_mean,cmi_sem,mean_minus_2sem,z_score,status,source,selection_note
0.050000,1,6,64,20,5000,0.07867088767301786,0.006611313309940727,0.06544826105313641,11.8994,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,2,10,64,20,5000,0.0362191448813151,0.003948920891583374,0.02832130309814835,9.17191,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,3,14,64,20,5000,0.01650526202843444,0.002724983959496839,0.01105529410944076,6.05701,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,4,18,64,20,5000,0.007042994039012045,0.00166310579821689,0.003716782442578264,4.23484,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,5,22,64,40,10000,0.003867960861585767,0.001201109530112399,0.001465741801360968,3.22032,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_or_topup_2026-04-16
0.050000,6,26,96,80,20000,0.001560809278253935,0.0007292337407283657,0.0001023417967972037,2.14034,stable_positive,outputs/CMI_stageP9_r6_chi96_raw.csv,topup_2026-04-16
0.110000,1,6,64,20,5000,0.02330480202280638,0.0028644374627358,0.01757592709733478,8.13591,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,2,10,64,20,5000,0.02787043920975977,0.002578701764492848,0.02271303568077407,10.8079,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,3,14,64,20,5000,0.01585191753089778,0.003006290102190163,0.009839337326517452,5.27292,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,4,18,64,20,5000,0.01490071549548163,0.002417256250130832,0.01006620299521996,6.16431,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,5,22,64,500,5000,0.01652555990864772,0.002706158417139729,0.01111324307436826,6.10665,stable_positive,outputs/CMI_p10_p011_r5_chi128_N5000_summary.csv,P10_candidate_chi128
0.110000,6,26,96,500,5000,0.007789703648327233,0.00240015709582948,0.002989389456668273,3.2455,stable_positive,outputs/CMI_p10_p011_r6_chi192_N5000_summary.csv,P10_candidate_chi192
0.150000,1,6,64,20,5000,0.005165826419219441,0.001729607967007074,0.001706610485205293,2.9867,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.150000,2,10,64,20,5000,0.003556231984368019,0.001432207831045905,0.0006918163222762097,2.48304,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.150000,3,14,64,40,10000,0.001365240543725667,0.0005769394793291608,0.0002113615850673457,2.36635,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_or_topup_2026-04-16
0.150000,4,18,64,20,5000,0.004282870860079194,0.0006104297253673934,0.003062011409344407,7.01616,stable_positive,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.150000,5,22,160,500,5000,0.0006934865243013973,0.0005149292175367121,-0.00033637191077202683,1.3467608764149317,consistent_with_zero,outputs/CMI_p10_p015_r5_chi160_N5000_summary.csv,P10_candidate_v2_chi160
0.150000,6,26,256,500,5000,0.001241025210418241,0.0004257069900252226,0.0003896112303677958,2.91521,stable_positive,outputs/CMI_verify_p015_r6_chi256_N5000_summary.csv,P10_candidate_chi256
