p,model,window,fit_mode,kept_r,points,parameter_name,parameter,intercept,r2,rss_sigma_mc,rss_sigma_chi
0.110000,power,r1to6,unweighted,"1,2,3,4,5,6",6,alpha,0.5195794629852689,-3.538241839700954,0.6114800823368725,0.00654367329477586,0.000720737952017815
0.110000,power,r1to6,weighted_mc,"1,2,3,4,5,6",6,alpha,0.3898418008584937,-3.544721204131961,0.4592267701253261,0.00654367329477586,0.000720737952017815
0.110000,power,r1to6,weighted_eff,"1,2,3,4,5,6",6,alpha,0.3910328890202137,-3.544239542029385,0.4613052533017271,0.00654367329477586,0.000720737952017815
0.110000,power,r2to6,unweighted,"2,3,4,5,6",5,alpha,0.9057233752332997,-2.985963478258349,0.7499605547541208,0.005883422321305725,0.000720737952017815
0.110000,power,r2to6,weighted_mc,"2,3,4,5,6",5,alpha,0.7977132337841458,-3.052893117870266,0.7049521306675658,0.005883422321305725,0.000720737952017815
0.110000,power,r2to6,weighted_eff,"2,3,4,5,6",5,alpha,0.8061281294992346,-3.04645170227839,0.7106493709657893,0.005883422321305725,0.000720737952017815
0.110000,power,r3to6,unweighted,"3,4,5,6",4,alpha,0.8081728830505869,-3.137905165531704,0.4643061317305681,0.005288190183856848,0.000720737952017815
0.110000,power,r3to6,weighted_mc,"3,4,5,6",4,alpha,0.4125652386725617,-3.628747472341542,0.2645642772182315,0.005288190183856848,0.000720737952017815
0.110000,power,r3to6,weighted_eff,"3,4,5,6",4,alpha,0.4264580457480684,-3.612893568680163,0.2809136162539987,0.005288190183856848,0.000720737952017815
0.110000,power,r1to5,unweighted,"1,2,3,4,5",5,alpha,0.3203731778356637,-3.651831688778039,0.5532085557563426,0.006087602656555546,0.0007069606321071309
0.110000,power,r1to5,weighted_mc,"1,2,3,4,5",5,alpha,0.3121386184792757,-3.583093360555354,0.4549031437592075,0.006087602656555546,0.0007069606321071309
0.110000,power,r1to5,weighted_eff,"1,2,3,4,5",5,alpha,0.3117177768073672,-3.583274252699825,0.454296324966076,0.006087602656555546,0.0007069606321071309
0.110000,power,r4to6,unweighted,"4,5,6",3,alpha,1.523694766514494,-1.956489802614085,0.5761501145480767,0.004350537350961761,0.000720737952017815
0.110000,power,r4to6,weighted_mc,"4,5,6",3,alpha,0.8459363218812248,-2.944145020737316,0.3825106460630195,0.004350537350961761,0.000720737952017815
0.110000,power,r4to6,weighted_eff,"4,5,6",3,alpha,0.8658474980107912,-2.919289061365113,0.4004109032215015,0.004350537350961761,0.000720737952017815
0.150000,exp,r1to6,unweighted,"1,2,3,4,5,6",6,b,-0.3335762055887678,-5.20004143630872,0.7162820106883692,0.002480814448181527,0.001510292114291001
0.150000,exp,r1to6,weighted_mc,"1,2,3,4,5,6",6,b,-0.3071624233464194,-5.163311177634644,0.6749620861170191,0.002480814448181527,0.001510292114291001
0.150000,exp,r1to6,weighted_eff,"1,2,3,4,5,6",6,b,-0.4561804919171254,-4.875233710377079,0.5955074826973219,0.002480814448181527,0.001510292114291001
0.150000,exp,r2to6,unweighted,"2,3,4,5,6",5,b,-0.2531979686661228,-5.575139875281058,0.508135031280309,0.001778453431150748,0.001510292114291001
0.150000,exp,r2to6,weighted_mc,"2,3,4,5,6",5,b,-0.2233018992443284,-5.576550041447823,0.4457065316574271,0.001778453431150748,0.001510292114291001
0.150000,exp,r2to6,weighted_eff,"2,3,4,5,6",5,b,-0.4047915344524454,-5.074347085250874,0.2818109734862085,0.001778453431150748,0.001510292114291001
0.150000,exp,r3to6,unweighted,"3,4,5,6",4,b,-0.03195692536423212,-6.681345091790518,0.03749198822696698,0.001054361102973101,0.001510292114291001
0.150000,exp,r3to6,weighted_mc,"3,4,5,6",4,b,-0.02067819944217025,-6.656805894469628,-0.1336776775898754,0.001054361102973101,0.001510292114291001
0.150000,exp,r3to6,weighted_eff,"3,4,5,6",4,b,-0.1486100838064049,-6.205800515824074,-0.5337408450251808,0.001054361102973101,0.001510292114291001
0.150000,exp,r1to5,unweighted,"1,2,3,4,5",5,b,-0.486480569031277,-4.843264588276198,0.9129052049181218,0.002444015933857608,0.0003485792437575798
0.150000,exp,r1to5,weighted_mc,"1,2,3,4,5",5,b,-0.5061425782755986,-4.783355390577727,0.9114123111230783,0.002444015933857608,0.0003485792437575798
0.150000,exp,r1to5,weighted_eff,"1,2,3,4,5",5,b,-0.5042341103925415,-4.784962175744195,0.9116403709646129,0.002444015933857608,0.0003485792437575798
0.150000,exp,r4to6,unweighted,"4,5,6",3,b,0.1488342991580479,-7.645564955909343,0.666810373938741,0.0008825067550189347,0.001510292114291001
0.150000,exp,r4to6,weighted_mc,"4,5,6",3,b,0.1782377087936083,-7.785156640231552,0.6382957548287173,0.0008825067550189347,0.001510292114291001
0.150000,exp,r4to6,weighted_eff,"4,5,6",3,b,0.09587779738379457,-7.431136946914035,0.4679033141536508,0.0008825067550189347,0.001510292114291001
