p,r,L,max_bond,total_samples,cmi_mean,cmi_sem,sigma_chi,sigma_eff,status,fit_role,fit_note,source,selection_note
0.050000,1,6,64,5000,0.07867088767301786,0.006611313309940727,0,0.006611313309940727,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,2,10,64,5000,0.0362191448813151,0.003948920891583374,0,0.003948920891583374,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,3,14,64,5000,0.01650526202843444,0.002724983959496839,0,0.002724983959496839,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,4,18,64,5000,0.007042994039012045,0.00166310579821689,0,0.00166310579821689,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.050000,5,22,64,10000,0.003867960861585767,0.001201109530112399,0,0.001201109530112399,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_or_topup_2026-04-16
0.050000,6,26,96,20000,0.001560809278253935,0.0007292337407283657,0,0.0007292337407283657,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r6_chi96_raw.csv,topup_2026-04-16
0.110000,1,6,64,5000,0.02330480202280638,0.0028644374627358,0,0.0028644374627358,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,2,10,64,5000,0.02787043920975977,0.002578701764492848,0,0.002578701764492848,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,3,14,64,5000,0.01585191753089778,0.003006290102190163,0,0.003006290102190163,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,4,18,64,5000,0.01490071549548163,0.002417256250130832,0,0.002417256250130832,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.110000,5,22,64,5000,0.01652555990864772,0.002706158417139729,0.0007069606321071309,0.002796978139708195,stable_positive,main_fit,high_chi_tail_point,outputs/CMI_p10_p011_r5_chi128_N5000_summary.csv,P10_candidate_chi128
0.110000,6,26,96,5000,0.007789703648327233,0.00240015709582948,0.0001402492785347576,0.002404251223310519,stable_positive,main_fit,high_chi_tail_point,outputs/CMI_p10_p011_r6_chi192_N5000_summary.csv,P10_candidate_chi192
0.150000,1,6,64,5000,0.005165826419219441,0.001729607967007074,0,0.001729607967007074,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.150000,2,10,64,5000,0.003556231984368019,0.001432207831045905,0,0.001432207831045905,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_2026-04-15
0.150000,3,14,64,10000,0.001365240543725667,0.0005769394793291608,0,0.0005769394793291608,stable_positive,main_fit,base_point,outputs/CMI_stageP9_r1to5_chi64_raw.csv,stageP9_base_or_topup_2026-04-16
0.150000,4,18,160,5000,0.0009215200190419509,0.000587926675866531,0.0003342590649767694,0.0006763038508796273,consistent_with_zero,main_fit,weak_tail_point,outputs/CMI_p10_p015_r4_chi160_N5000_summary.csv,P10_candidate_v4_chi160
0.150000,5,22,192,5000,0.0008912577725602091,0.0005019302293170296,9.888562412940587e-05,0.0005115782655290469,consistent_with_zero,main_fit,weak_tail_point,outputs/CMI_p10_p015_r5_chi192_N5000_summary.csv,P10_candidate_v3_chi192
0.150000,6,26,256,5000,0.001241025210418241,0.0004257069900252226,0.001469515151779993,0.001529935038708281,stable_positive,main_fit,tail_anchor,outputs/CMI_verify_p015_r6_chi256_N5000_summary.csv,P10_candidate_chi256
